agents,features,traits,regions,usediter,non_zero_edges
100,5,5,1,26833,0
100,5,5,1,29508,0
100,5,5,1,39246,0
100,5,5,1,34343,0
100,5,5,1,28345,0
100,5,5,1,41618,0
100,5,5,1,31588,0
100,5,5,1,59631,0
100,5,5,1,31428,0
100,5,5,1,36861,0
100,5,10,3,32647,0
100,5,10,2,26158,0
100,5,10,1,30133,0
100,5,10,1,46262,0
100,5,10,1,35579,0
100,5,10,1,40974,0
100,5,10,2,20680,0
100,5,10,2,25253,0
100,5,10,1,29684,0
100,5,10,1,54215,0
100,5,15,4,52678,0
100,5,15,4,37288,0
100,5,15,1,36590,0
100,5,15,1,44361,0
100,5,15,3,36875,0
100,5,15,4,35716,0
100,5,15,3,65702,0
100,5,15,3,38034,0
100,5,15,1,49149,0
100,5,15,1,35294,0
100,10,5,1,76194,0
100,10,5,1,76075,0
100,10,5,1,69083,0
100,10,5,1,66177,0
100,10,5,1,77044,0
100,10,5,1,72022,0
100,10,5,1,68015,0
100,10,5,1,46284,0
100,10,5,1,58544,0
100,10,5,1,54641,0
100,10,10,1,89611,0
100,10,10,1,69919,0
100,10,10,1,80081,0
100,10,10,1,62691,0
100,10,10,1,67227,0
100,10,10,1,75671,0
100,10,10,1,78826,0
100,10,10,1,64043,0
100,10,10,1,68659,0
100,10,10,1,77733,0
100,10,15,1,82005,0
100,10,15,1,71536,0
100,10,15,1,63009,0
100,10,15,1,76898,0
100,10,15,1,84163,0
100,10,15,1,54060,0
100,10,15,1,67650,0
100,10,15,1,78375,0
100,10,15,1,78862,0
100,10,15,1,88099,0
100,15,5,1,100000,582
100,15,5,1,100000,260
100,15,5,1,73874,0
100,15,5,1,67758,0
100,15,5,1,100000,220
100,15,5,1,100000,378
100,15,5,1,96277,0
100,15,5,1,82098,0
100,15,5,1,81906,0
100,15,5,1,85556,0
100,15,10,1,100000,588
100,15,10,1,100000,534
100,15,10,1,100000,434
100,15,10,1,100000,550
100,15,10,1,100000,586
100,15,10,1,100000,620
100,15,10,1,100000,580
100,15,10,1,100000,566
100,15,10,1,100000,330
100,15,10,1,100000,604
100,15,15,1,100000,626
100,15,15,1,100000,432
100,15,15,1,90298,0
100,15,15,1,100000,548
100,15,15,1,100000,626
100,15,15,1,100000,588
100,15,15,1,100000,624
100,15,15,1,92851,0
100,15,15,1,100000,600
100,15,15,1,100000,590
